genre,title,artist,lyrics
metal,My Own Summer (Shove It),Deftones,"Hey you, big star Tell me when it's over (Cloud)  Hey you, big mood Guide me to shelter 'Cause I'm through when the two Hits the six and it's summer (Cloud)  (Come) Shove it, shove it, shove it (Shove) Shove it, shove it, shove it (The sun) Shove it, shove it, shove it (Aside) Shove it aside  I think God is moving its tongue There's no crowds in the street and no sun In my own summer  The shade is a tool A device, a savior See, I try and look up To the sky, but my eyes burn (Cloud)  (Come) Shove it, shove it, shove it (Shove) Shove it, shove it, shove it (The sun) Shove it, shove it, shove it (Aside) Shove it aside (Come) Shove it, shove it, shove it (Shove) Shove it, shove it, shove it (The sun) Shove it, shove it, shove it (Aside) Shove it aside  I think God is moving its tongue There's no crowd in the streets and no sun In my own summer  (Come) Shove it, shove it, shove it (Shove) Shove it, shove it, shove it (The sun) Shove it, shove it, shove it (Aside) Shove it aside"
metal,Chop Suey!,System of a Down,"We're rolling ""Suicide""  Wake up (Wake up) Grab a brush and put a little makeup Hide your scars to fade away the shakeup (Hide the scars to fade away the shakeup) Why'd you leave the keys upon the table? Here you go, create another fable, you wanted to Grab a brush and put a little makeup, you wanted to Hide the scars to fade away the shakeup, you wanted to Why'd you leave the keys upon the table? You wanted to  I don't think you  trust In my self-righteous suicide I cry when angels deserve to  die  Rah, wake up (Wake up) Grab a brush and put a little makeup (A little bit) Hide the scars to fade away the (Hide the scars to fade away the shakeup) Why'd you leave the keys upon the table? Here you go, create another fable, you wanted to Grab a brush and put a little makeup, you wanted to Hide the scars to fade away the shakeup, you wanted to Why'd you leave the keys upon the table? You wanted to  I don't think you  trust In my self-righteous suicide I cry when angels deserve to die In my self-righteous suicide I cry  when angels deserve to die [Bridge: Serj Tankian &  Daron Malakian ] Father,  father , father,  father Father,  father , father,  father Father, into your hands I commend my spirit Father, into your hands Why have you forsaken me? In your eyes, forsaken me? In your thoughts, forsaken me? In your heart, forsaken me? Oh  Trust In my self-righteous suicide I cry when angels deserve to die In my self-righteous suicide I cry when angels deserve to die"
metal,Toxicity,System of a Down,"Conversion, software version 7.0 Looking at life through the eyes of a tire hub  Eating seeds as a pastime activity The toxicity of our city, of our city  New, what do you own, the world? How do you own disorder, disorder? Now, somewhere between the sacred silence Sacred silence and sleep Somewhere between the sacred silence and sleep Disorder, disorder, disorder  More wood for their fires, loud neighbors Flashlight reveries caught in the headlights of a truck  Eating seeds as a pastime activity The toxicity of our city, of our city  New, what do you own, the world? How do you own disorder, disorder? Now, somewhere between the sacred silence Sacred silence and sleep Somewhere between the sacred silence and sleep Disorder, disorder, disorder   New, what do you own, the world? How do you own disorder? Now, somewhere between the sacred silence Sacred silence and sleep Somewhere between the sacred silence and sleep Disorder, disorder, disorder  When I became the sun, I shone life into the man's hearts When I became the sun, I shone life into the man's heart"
metal,Sextape,Deftones,"Floating underwater Ever-changing picture Hours out from land In tune with all our dreams  The ocean takes me in To watch you shake it Watch you wave your powers Tempt with hours of pleasure  Take me one more time Take me one more wave Take me for one last ride I'm out of my head  Tonight, tonight Tonight, tonight-ight The sound of the waves collide The sound of the waves collide The sound of the waves collide Tonight  (We ride)  Cruising through the city After hours with me Fusing all our powers Here's to all our dreams  Take me one more time Take me one more wave Take me for one last ride I'm out of my head  Tonight, tonight Tonight, tonight-ight The sound of the waves collide The sound of the waves collide The sound of the waves collide Tonight (We ride)"
metal,Duality,Slipknot,"I push my fingers into my eyes It's the only thing that slowly stops the ache But it's made of all the things I have to take Jesus, it never ends, it works its way inside If the pain goes on, ah  I have screamed until my veins collapsed I've waited as my time's elapsed Now all I do is live with so much fate I've wished for this, I've bitched at that I've left behind this little fact You cannot kill what you did not create I've gotta say what I've gotta say And then I swear I'll go away But I can't promise you'll enjoy the noise I guess I'll save the best for last My future seems like one big past You're left with me 'cause you left me no choice  I push my fingers into my eyes It's the only thing that slowly stops the ache If the pain goes on, I'm not gonna make it  Put me back together or separate the skin from bone Leave me all the pieces, then you can leave me alone Tell me the reality is better than the dream But I found out the hard way, nothing is what it seems  I push my fingers into my eyes It's the only thing that slowly stops the ache But it's made of all the things I have to take Jesus, it never ends, it works its way inside If the pain goes on, I'm not gonna make it  All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane  I push my fingers into my eyes It's the only thing that slowly stops the ache But it's made of all the things I have to take Jesus, it never ends, it works its way inside If the pain goes on, I'm not gonna make it  All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane"
metal,Change (In the House of Flies),Deftones,"I watched you change Into a fly I looked away You were on fire  And I watched a change in you It's like you never had wings Now you feel so alive I've watched you change  I took you home Set you on the glass I pulled off your wings Then I laughed  And I watched a change in you It's like you never had wings Now you feel so alive I've watched you change  It's like you never had wings Ah, ah-ah-ah Ah-ah-ah, ah-ah-ah Ah-ah-ah, ah-ah  I look at the cross Then I look away Give you the gun Blow me away  And I watched a change in you It's like you never had wings Now you feel so alive I've watched you change Now you feel alive You feel alive You feel alive I've watched you change  It's like you never had wings Ah, ah-ah-ah Ah-ah-ah, ah-ah-ah Ah-ah-ah, ah-ah  You've changed You've changed You've changed Into a fly"
metal,Aerials,System of a Down,"Life is a waterfall We're one in the river and one again after the fall Swimming through the void, we hear the word We lose ourselves, but we find it all  'Cause we are the ones that wanna play Always wanna go, but you never wanna stay And we are the ones that wanna choose Always wanna play, but you never wanna lose  Aerials in the sky When you lose small mind, you free your life  Life is a waterfall We drink from the river, then we turn around and put up our walls Swimming through the void, we hear the word We lose ourselves, but we find it all  'Cause we are the ones that wanna play Always wanna go, but you never wanna stay And we are the ones that wanna choose Always wanna play, but you never wanna lose, oh  Aerials in the sky When you lose small mind, you free your life Aerials, so up high When you free your eyes, eternal prize Aerials in the skyWhen you lose small mind, you free your life Aerials, so up high When you free your eyes, eternal prize  Ahh-ahh, ahh, ahh-ahh, ahh Ahh-ahh, ahh-ahh, ahh-ahh, ahh-ahh, ahh Ahh-ahh, ahh, ahh-ahh, ahh Ahh-ahh, ahh-ahh, ahh-ahh, ahh-ahh, om"
metal,Blind,Korn,"Are you ready?  There's a place inside my mind A place I like to hide You don't know the chances What if I should die? A place inside my brain Another kind of pain You don't know the chances  I'm so blind Blind, blind  Another place I'll find To escape the pain inside You don't know the chances What if I should die? A place inside my brain Another kind of pain You don't know the chances  I'm so blind Blind, blind  Deeper and deeper and deeper As I dream to live a life that seems to be A lost reality That can never find a way to reach my inner Self-esteem is low, how deep can I go In the ground that I lay, if I don't find a way to See through the gray that clouds my mind? This time I look to see what's between the lines  I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind  I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind ( I can see I'm going ) I can see, I can see I'm going blind ( Going blind ) I can see, I can see I'm going blind I can see, I can see I'm going blind  I'm blind I'm blind I'm blind I'm blind"
metal,Psychosocial,Slipknot,"Ooh, yeah  I did my time, and I want out So effusive, fade, it doesn't cut, the soul is not so vibrant The reckoning, the sickening Packaging subversion, pseudo-sacrosanct perversion Go drill your deserts, go dig your graves Then fill your mouth with all the money you will save Sinking in, getting smaller again I'm done, it has begun, I'm not the only one  And the rain will kill us all We throw ourselves against the wall But no one else can see The preservation of the martyr in me  Psychosocial, psychosocial, psychosocial Psychosocial, psychosocial, psychosocial  There are cracks in the road we laid But where the temple fell, the secrets have gone mad This is nothing new, but when we killed it all The hate was all we had Who needs another mess? We could start over Just look me in the eyes and say I'm wrong Now there's only emptiness, venomous, insipid I think we're done, I'm not the only one  And the rain will kill us all We throw ourselves against the wall But no one else can see The preservation of the martyr in me  Psychosocial, psychosocial, psychosocial Psychosocial, psychosocial, psychosocial   The limits of the dead The limits of the dead The limits of the dead The limits of the dead  Fake anti-fascist lie ( Psychosocial ) I tried to tell you, but ( Psychosocial ) Your purple hearts are giving out ( Psychosocial ) Can't stop a killing idea ( Psychosocial ) If it's hunting season ( Psychosocial ) Is this what you want? ( Psychosocial ) I'm not the only one  And the rain will kill us all We throw ourselves against the wall But no one else can see The preservation of the martyr in me And the rain will kill us all We throw ourselves against the wall But no one else can see The preservation of the martyr in me  The limits of the dead The limits of the dead"
metal,B.Y.O.B.,System of a Down,"You Why do they always send the poor?  Barbarisms by Barbaras with pointed heels Victorious Victorias kneel for brand-new spanking deals Marching forward, hypocritic and hypnotic computers You depend on our protection, yet you feed us lies from the tablecloth  La-la-la-la-la-la-la-la-la-la, ooh-ooh  Everybody's going to the party, have a real good time Dancin' in the desert, blowin' up the sunshine  Kneeling roses disappearing into Moses' dry mouth Breaking into Fort Knox, stealing our intentions Hangars sitting dripped in oil, crying, ""Freedom"" Handed to obsoletion,   still, you feed us lies from the tablecloth  La-la-la-la-la-la-la-la-la-la, ooh-ooh  Everybody's going to the party, have a real good time Dancin' in the desert, blowing up the sunshine Everybody's goin' to the party, have a real good time Dancin' in the desert,   blowin' up the sunshine  Blast off, it's party time And we don't live in a fascist nation Blast off, it's party time And where the fuck are  you?  Where the fuck are you? Where the fuck are you? Why don't presidents fight the war? Why do they always send the poor? Why don't presidents fight the war? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? Why they always send the poor?  Kneeling roses disappearing into Moses' dry mouth Breaking into Fort Knox, stealing our intentions Hangars sitting dripped in oil, crying, ""Freedom"" Handed to obsoletion,   still, you feed us lies from the tablecloth  La-la-la-la-la-la-la-la-la-la, ooh-ooh  Everybody's going to the party, have a real good time Dancin' in the desert, blowin' up the sunshine Well everybody's goin' to the party, have a real good time Dancin' in the desert,   blowin' up the sun  Where the fuck are you? Where the fuck are you? Why don't presidents fight the war? Why do they always send the poor? Why don't presidents fight the war? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor?  Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? They always send the poor, they always send the poor"
